Trip_ID,Date,Time,Pickup_Location,Drop_Location,Distance_km,Payment_Type,Passenger_Count,Driver_Rating,Fare_Amount,DateTime,Hour,DayOfWeek,Month,Year,DayOfMonth,Weekend,Time_Category,Peak_Hour,Fare_per_km,Trip_Category,Trip_Efficiency,Rating_Category,Rating_Bin,Route,Same_Location_Trip,Route_Popularity,Payment_Type_Encoded,Passenger_Group,Time_Multiplier,Day_Premium,Is_Weekend,Final_Multiplier
UBER0019,2024-05-27,19:09,Connaught Place,Gurugram Cyber City,28.3,Wallet,4,3.0,549.48,2024-05-27 19:09:00,19,Monday,May,2024,27,False,Evening,Peak,19.41625441696113,Long,0.6860867285145276,Average,Very Poor,Connaught Place to Gurugram Cyber City,False,6,2,Large Group,1.35,1.0,0,1.35
UBER0020,2024-01-15,13:54,Vasant Kunj,Vasant Kunj,8.04,Wallet,1,4.8,108.39,2024-01-15 13:54:00,13,Monday,January,2024,15,False,Afternoon,Off-Peak,13.481343283582092,Medium,1.6767839904952853,Excellent,Excellent,Vasant Kunj to Vasant Kunj,True,9,2,Solo,1.0,1.0,0,1.0
UBER0021,2025-03-30,23:14,Vasant Kunj,Vasant Kunj,3.66,Card,3,4.7,54.1,2025-03-30 23:14:00,23,Sunday,March,2025,30,True,Night,Off-Peak,14.781420765027322,Short,4.038639553286154,Excellent,Excellent,Vasant Kunj to Vasant Kunj,True,9,1,Small Group,1.4,1.25,1,1.75
UBER0022,2024-07-06,17:08,Rohini,Indraprastha,3.08,Cash,1,4.2,43.42,2024-07-06 17:08:00,17,Saturday,July,2024,6,True,Evening,Peak,14.097402597402597,Short,4.577078765390453,Good,Good,Rohini to Indraprastha,False,3,0,Solo,1.35,1.25,1,1.6875
UBER0023,2025-01-28,21:44,Rajouri Garden,Vasant Kunj,22.06,Wallet,1,4.4,316.61,2025-01-28 21:44:00,21,Tuesday,January,2025,28,False,Night,Off-Peak,14.352221214868543,Long,0.6505993297764525,Good,Good,Rajouri Garden to Vasant Kunj,False,6,2,Solo,1.2,1.0,0,1.2
UBER0024,2024-07-10,16:40,Noida Sector 15,Lajpat Nagar,18.66,Card,1,4.0,343.12,2024-07-10 16:40:00,16,Wednesday,July,2024,10,False,Afternoon,Off-Peak,18.387995712754556,Long,0.9854231357317554,Good,Average,Noida Sector 15 to Lajpat Nagar,False,6,1,Solo,1.0,1.0,0,1.0
UBER0025,2024-03-16,18:38,Janakpuri,Greater Kailash,24.05,Card,3,4.9,460.62,2024-03-16 18:38:00,18,Saturday,March,2024,16,True,Evening,Peak,19.152598752598752,Long,0.7963658524989086,Excellent,Excellent,Janakpuri to Greater Kailash,False,6,1,Small Group,1.35,1.25,1,1.6875
UBER0026,2024-05-04,02:19,Okhla,Pitampura,17.5,Cash,4,4.0,264.89,2024-05-04 02:19:00,2,Saturday,May,2024,4,True,Night,Off-Peak,15.136571428571427,Long,0.8649469387755101,Good,Average,Okhla to Pitampura,False,5,0,Large Group,1.4,1.25,1,1.75
UBER0027,2025-08-27,20:44,Rohini,Noida Sector 15,24.06,Card,4,3.2,417.1,2025-08-27 20:44:00,20,Wednesday,August,2025,27,False,Evening,Off-Peak,17.33582709891937,Long,0.7205248170789431,Average,Poor,Rohini to Noida Sector 15,False,7,1,Large Group,1.2,1.0,0,1.2
UBER0028,2025-10-24,21:58,Rajouri Garden,Noida Sector 15,26.56,Cash,3,4.0,420.63,2025-10-24 21:58:00,21,Friday,October,2025,24,False,Night,Off-Peak,15.836972891566266,Long,0.5962715697125853,Good,Average,Rajouri Garden to Noida Sector 15,False,3,0,Small Group,1.2,1.15,0,1.38
UBER0029,2025-11-20,09:32,Pitampura,Noida Sector 15,10.7,Cash,3,3.2,197.46,2025-11-20 09:32:00,9,Thursday,November,2025,20,False,Morning,Peak,18.454205607476638,Medium,1.724692112848284,Average,Poor,Pitampura to Noida Sector 15,False,7,0,Small Group,1.3,1.0,0,1.3
UBER0030,2024-11-10,21:21,Chandni Chowk,Hauz Khas,13.61,Wallet,4,4.0,240.84,2024-11-10 21:21:00,21,Sunday,November,2024,10,True,Night,Off-Peak,17.69581190301249,Medium,1.3002066056585224,Good,Average,Chandni Chowk to Hauz Khas,False,3,2,Large Group,1.2,1.25,1,1.5
UBER0031,2024-05-14,03:38,Kalkaji,Connaught Place,15.69,Cash,3,4.7,300.63,2024-05-14 03:38:00,3,Tuesday,May,2024,14,False,Night,Off-Peak,19.16061185468451,Long,1.2211989709805298,Excellent,Excellent,Kalkaji to Connaught Place,False,7,0,Small Group,1.4,1.0,0,1.4
UBER0032,2024-08-16,15:11,Pitampura,Pitampura,3.72,Wallet,4,3.7,55.06,2024-08-16 15:11:00,15,Friday,August,2024,16,False,Afternoon,Off-Peak,14.801075268817204,Short,3.9787836744132266,Average,Average,Pitampura to Pitampura,True,5,2,Large Group,1.0,1.15,0,1.15
UBER0033,2024-05-13,15:38,Kalkaji,Pitampura,29.04,Card,2,4.1,426.58,2024-05-13 15:38:00,15,Monday,May,2024,13,False,Afternoon,Off-Peak,14.68939393939394,Long,0.5058331246347776,Good,Good,Kalkaji to Pitampura,False,7,1,Couple,1.0,1.0,0,1.0
UBER0034,2025-03-13,02:21,Greater Kailash,Pitampura,24.12,Cash,3,4.6,437.62,2025-03-13 02:21:00,2,Thursday,March,2025,13,False,Night,Off-Peak,18.14344941956882,Long,0.7522159792524387,Excellent,Excellent,Greater Kailash to Pitampura,False,5,0,Small Group,1.4,1.0,0,1.4
UBER0035,2025-06-08,14:11,Dwarka,Hauz Khas,28.46,Cash,1,3.8,417.99,2025-06-08 14:11:00,14,Sunday,June,2025,8,True,Afternoon,Off-Peak,14.686929023190443,Long,0.5160551308218708,Average,Average,Dwarka to Hauz Khas,False,6,0,Solo,1.0,1.25,1,1.25
UBER0036,2025-08-15,05:35,Hauz Khas,Pitampura,21.26,Card,3,4.1,314.79,2025-08-15 05:35:00,5,Friday,August,2025,15,False,Morning,Off-Peak,14.806679209783631,Long,0.6964571594441971,Good,Good,Hauz Khas to Pitampura,False,3,1,Small Group,1.0,1.15,0,1.15
UBER0037,2024-12-05,20:28,Saket,Connaught Place,29.97,Card,3,4.1,573.31,2024-12-05 20:28:00,20,Thursday,December,2024,5,False,Evening,Off-Peak,19.129462796129463,Long,0.6382870469179001,Good,Good,Saket to Connaught Place,False,5,1,Small Group,1.2,1.0,0,1.2
UBER0038,2025-07-26,14:22,Dwarka,Noida Sector 15,22.71,Wallet,4,3.5,416.27,2025-07-26 14:22:00,14,Saturday,July,2025,26,True,Afternoon,Off-Peak,18.329810656098633,Long,0.8071250839321282,Average,Poor,Dwarka to Noida Sector 15,False,7,2,Large Group,1.0,1.25,1,1.25
UBER0039,2024-09-20,09:17,Rohini,Pitampura,14.53,Wallet,3,4.8,195.43,2024-09-20 09:17:00,9,Friday,September,2024,20,False,Morning,Peak,13.450103234686855,Medium,0.9256781303982695,Excellent,Excellent,Rohini to Pitampura,False,10,2,Small Group,1.3,1.15,0,1.4949999999999999
UBER0040,2025-01-22,11:39,Chandni Chowk,Gurugram Cyber City,9.69,Card,1,3.7,171.0,2025-01-22 11:39:00,11,Wednesday,January,2025,22,False,Morning,Off-Peak,17.647058823529413,Medium,1.8211619012930251,Average,Average,Chandni Chowk to Gurugram Cyber City,False,7,1,Solo,1.0,1.0,0,1.0
UBER0041,2024-03-21,20:09,Okhla,Connaught Place,16.84,Cash,3,4.9,310.69,2024-03-21 20:09:00,20,Thursday,March,2024,21,False,Evening,Off-Peak,18.44952494061758,Long,1.0955774905354856,Excellent,Excellent,Okhla to Connaught Place,False,7,0,Small Group,1.2,1.0,0,1.2
UBER0042,2024-02-11,21:12,Indraprastha,Gurugram Cyber City,16.9,Cash,2,3.9,309.23,2024-02-11 21:12:00,21,Sunday,February,2024,11,True,Night,Off-Peak,18.297633136094678,Long,1.0827001855677325,Average,Average,Indraprastha to Gurugram Cyber City,False,7,0,Couple,1.2,1.25,1,1.5
UBER0043,2024-02-07,17:33,Dwarka,Dwarka,17.26,Card,2,4.3,291.58,2024-02-07 17:33:00,17,Wednesday,February,2024,7,False,Evening,Peak,16.89339513325608,Long,0.9787598570832028,Good,Good,Dwarka to Dwarka,True,7,1,Couple,1.35,1.0,0,1.35
UBER0044,2025-12-21,15:02,IGI Airport,Connaught Place,11.71,Card,3,4.0,181.6,2025-12-21 15:02:00,15,Sunday,December,2025,21,True,Afternoon,Off-Peak,15.508112724167377,Medium,1.324347798818734,Good,Average,IGI Airport to Connaught Place,False,5,1,Small Group,1.0,1.25,1,1.25
UBER0045,2024-06-10,05:37,Mayur Vihar,Saket,12.84,Wallet,3,4.2,175.44,2024-06-10 05:37:00,5,Monday,June,2024,10,False,Morning,Off-Peak,13.663551401869158,Medium,1.0641395172795294,Good,Good,Mayur Vihar to Saket,False,9,2,Small Group,1.0,1.0,0,1.0
UBER0046,2025-08-24,05:51,Indraprastha,Karol Bagh,2.93,Wallet,4,4.5,38.99,2025-08-24 05:51:00,5,Sunday,August,2025,24,True,Morning,Off-Peak,13.30716723549488,Short,4.541695302216683,Excellent,Good,Indraprastha to Karol Bagh,False,5,2,Large Group,1.0,1.25,1,1.25
UBER0047,2025-09-23,09:51,Kalkaji,Connaught Place,7.91,Card,3,4.5,118.6,2025-09-23 09:51:00,9,Tuesday,September,2025,23,False,Morning,Peak,14.993678887484196,Medium,1.8955346254720853,Excellent,Good,Kalkaji to Connaught Place,False,7,1,Small Group,1.3,1.0,0,1.3
UBER0049,2025-10-11,06:58,Mayur Vihar,Rajouri Garden,22.55,Cash,4,4.6,387.99,2025-10-11 06:58:00,6,Saturday,October,2025,11,True,Morning,Off-Peak,17.205764966740578,Long,0.7630050983033515,Excellent,Excellent,Mayur Vihar to Rajouri Garden,False,4,0,Large Group,1.0,1.25,1,1.25
UBER0050,2024-03-07,07:00,Mayur Vihar,Noida Sector 15,2.37,Card,1,4.6,40.55,2024-03-07 07:00:00,7,Thursday,March,2024,7,False,Morning,Peak,17.10970464135021,Short,7.219284658797556,Excellent,Excellent,Mayur Vihar to Noida Sector 15,False,7,1,Solo,1.3,1.0,0,1.3
UBER0051,2024-01-24,21:00,Janakpuri,Greater Kailash,10.44,Wallet,2,4.4,184.83,2024-01-24 21:00:00,21,Wednesday,January,2024,24,False,Night,Off-Peak,17.70402298850575,Medium,1.695787642577179,Good,Good,Janakpuri to Greater Kailash,False,6,2,Couple,1.2,1.0,0,1.2
UBER0052,2024-06-29,14:11,Okhla,Gurugram Cyber City,9.54,Wallet,1,4.0,123.19,2024-06-29 14:11:00,14,Saturday,June,2024,29,True,Afternoon,Off-Peak,12.912997903563943,Medium,1.3535637215475833,Good,Average,Okhla to Gurugram Cyber City,False,5,2,Solo,1.0,1.25,1,1.25
UBER0053,2025-08-21,18:32,Okhla,Rajouri Garden,5.27,Cash,3,3.4,96.55,2025-08-21 18:32:00,18,Thursday,August,2025,21,False,Evening,Peak,18.32068311195446,Medium,3.4764104576763684,Average,Poor,Okhla to Rajouri Garden,False,3,0,Small Group,1.35,1.0,0,1.35
UBER0054,2024-02-27,09:55,Gurugram Cyber City,Rohini,29.63,Wallet,4,4.1,444.11,2024-02-27 09:55:00,9,Tuesday,February,2024,27,False,Morning,Peak,14.988525143435709,Long,0.5058564003859504,Good,Good,Gurugram Cyber City to Rohini,False,7,2,Large Group,1.3,1.0,0,1.3
UBER0055,2025-09-23,14:10,Vasant Kunj,Kalkaji,22.91,Cash,2,3.3,418.69,2025-09-23 14:10:00,14,Tuesday,September,2025,23,False,Afternoon,Off-Peak,18.275425578350067,Long,0.7977051758336999,Average,Poor,Vasant Kunj to Kalkaji,False,7,0,Couple,1.0,1.0,0,1.0
UBER0056,2024-01-02,08:15,IGI Airport,Chandni Chowk,27.7,Cash,2,4.3,332.75,2024-01-02 08:15:00,8,Tuesday,January,2024,2,False,Morning,Peak,12.012635379061372,Long,0.4336691472585333,Good,Good,IGI Airport to Chandni Chowk,False,7,0,Couple,1.3,1.0,0,1.3
UBER0057,2024-03-20,12:31,Chandni Chowk,Noida Sector 15,100.0,Card,1,4.0,20.0,2024-03-20 12:31:00,12,Wednesday,March,2024,20,False,Afternoon,Off-Peak,0.2,Long,0.002,Good,Average,Chandni Chowk to Noida Sector 15,False,7,1,Solo,1.0,1.0,0,1.0
UBER0058,2025-06-14,15:19,Chandni Chowk,Okhla,9.94,Wallet,3,3.9,188.74,2025-06-14 15:19:00,15,Saturday,June,2025,14,True,Afternoon,Off-Peak,18.987927565392354,Medium,1.9102542822326314,Average,Average,Chandni Chowk to Okhla,False,3,2,Small Group,1.0,1.25,1,1.25
UBER0059,2025-04-26,20:38,Pitampura,Okhla,19.26,Card,4,4.0,264.32,2025-04-26 20:38:00,20,Saturday,April,2025,26,True,Evening,Off-Peak,13.723779854620975,Long,0.7125534711641212,Good,Average,Pitampura to Okhla,False,6,1,Large Group,1.2,1.25,1,1.5
UBER0060,2024-07-08,10:24,Rajouri Garden,Pitampura,27.3,Wallet,3,3.7,454.83,2024-07-08 10:24:00,10,Monday,July,2024,8,False,Morning,Off-Peak,16.66043956043956,Long,0.6102725113714125,Average,Average,Rajouri Garden to Pitampura,False,6,2,Small Group,1.0,1.0,0,1.0
UBER0061,2024-04-10,14:12,Indraprastha,Pitampura,20.05,Card,3,3.6,297.61,2024-04-10 14:12:00,14,Wednesday,April,2024,10,False,Afternoon,Off-Peak,14.843391521197008,Long,0.7403187791120702,Average,Average,Indraprastha to Pitampura,False,5,1,Small Group,1.0,1.0,0,1.0
UBER0062,2025-01-11,04:48,Lajpat Nagar,Janakpuri,3.21,Card,2,4.2,57.52,2025-01-11 04:48:00,4,Saturday,January,2025,11,True,Night,Off-Peak,17.9190031152648,Short,5.582243961141683,Good,Good,Lajpat Nagar to Janakpuri,False,2,1,Couple,1.4,1.25,1,1.75
UBER0063,2024-12-09,11:19,Gurugram Cyber City,Indraprastha,21.07,Wallet,2,3.1,399.43,2024-12-09 11:19:00,11,Monday,December,2024,9,False,Morning,Off-Peak,18.957285239677265,Long,0.8997287726472362,Average,Poor,Gurugram Cyber City to Indraprastha,False,7,2,Couple,1.0,1.0,0,1.0
UBER0064,2025-06-16,23:27,Dwarka,Okhla,1.35,Card,4,4.1,16.36,2025-06-16 23:27:00,23,Monday,June,2025,16,False,Night,Off-Peak,12.118518518518517,Short,8.97668038408779,Good,Good,Dwarka to Okhla,False,4,1,Large Group,1.4,1.0,0,1.4
UBER0065,2024-09-27,06:39,Saket,Pitampura,27.83,Cash,2,4.5,413.28,2024-09-27 06:39:00,6,Friday,September,2024,27,False,Morning,Off-Peak,14.850161696011499,Long,0.5336026480780273,Excellent,Good,Saket to Pitampura,False,4,0,Couple,1.0,1.15,0,1.15
UBER0066,2025-09-19,16:44,Dwarka,IGI Airport,22.95,Card,1,3.1,441.91,2025-09-19 16:44:00,16,Friday,September,2025,19,False,Afternoon,Off-Peak,19.25533769063181,Long,0.8390125355395124,Average,Poor,Dwarka to IGI Airport,False,9,1,Solo,1.0,1.15,0,1.15
UBER0067,2024-05-04,12:40,Hauz Khas,Karol Bagh,10.32,Cash,2,4.6,249.21,2024-05-04 12:40:00,12,Saturday,May,2024,4,True,Afternoon,Off-Peak,24.14825581395349,Medium,2.3399472687939427,Excellent,Excellent,Hauz Khas to Karol Bagh,False,5,0,Couple,1.0,1.25,1,1.25
UBER0068,2025-05-03,06:43,Noida Sector 15,Saket,8.1,Cash,4,4.1,100.0,2025-05-03 06:43:00,6,Saturday,May,2025,3,True,Morning,Off-Peak,12.345679012345679,Medium,1.5241579027587258,Good,Good,Noida Sector 15 to Saket,False,8,0,Large Group,1.0,1.25,1,1.25
UBER0069,2025-06-08,06:13,Dwarka,Connaught Place,5.53,Card,2,4.1,81.36,2025-06-08 06:13:00,6,Sunday,June,2025,8,True,Morning,Off-Peak,14.712477396021699,Medium,2.6604841584126038,Good,Good,Dwarka to Connaught Place,False,5,1,Couple,1.0,1.25,1,1.25
UBER0070,2025-02-17,10:34,Okhla,Janakpuri,19.37,Cash,1,3.7,353.07,2025-02-17 10:34:00,10,Monday,February,2025,17,False,Morning,Off-Peak,18.227671657201856,Long,0.9410258986681391,Average,Average,Okhla to Janakpuri,False,5,0,Solo,1.0,1.0,0,1.0
UBER0071,2025-08-11,18:48,Connaught Place,Janakpuri,4.81,Cash,3,3.2,76.47,2025-08-11 18:48:00,18,Monday,August,2025,11,False,Evening,Peak,15.898128898128899,Short,3.3052243031453017,Average,Poor,Connaught Place to Janakpuri,False,4,0,Small Group,1.35,1.0,0,1.35
UBER0072,2025-03-12,06:20,Greater Kailash,Kalkaji,2.71,Cash,1,4.4,52.09,2025-03-12 06:20:00,6,Wednesday,March,2025,12,False,Morning,Off-Peak,19.22140221402214,Short,7.092768344657617,Good,Good,Greater Kailash to Kalkaji,False,5,0,Solo,1.0,1.0,0,1.0
UBER0073,2025-10-08,18:06,Mayur Vihar,IGI Airport,19.89,Cash,2,4.3,266.43,2025-10-08 18:06:00,18,Wednesday,October,2025,8,False,Evening,Peak,13.395173453996984,Long,0.6734627176469071,Good,Good,Mayur Vihar to IGI Airport,False,8,0,Couple,1.35,1.0,0,1.35
UBER0074,2025-03-15,16:27,Mayur Vihar,Chandni Chowk,24.93,Cash,2,3.5,441.05,2025-03-15 16:27:00,16,Saturday,March,2025,15,True,Afternoon,Off-Peak,17.691536301644607,Long,0.7096484677755559,Average,Poor,Mayur Vihar to Chandni Chowk,False,11,0,Couple,1.0,1.25,1,1.25
UBER0075,2024-05-13,17:45,Gurugram Cyber City,Indraprastha,9.57,Wallet,4,5.0,137.39,2024-05-13 17:45:00,17,Monday,May,2024,13,False,Evening,Peak,14.356321839080458,Medium,1.5001381232058995,Excellent,Excellent,Gurugram Cyber City to Indraprastha,False,7,2,Large Group,1.35,1.0,0,1.35
UBER0076,2025-08-05,00:00,Indraprastha,IGI Airport,17.57,Cash,3,3.1,227.25,2025-08-05 00:00:00,0,Tuesday,August,2025,5,False,Night,Off-Peak,12.933978372225384,Long,0.7361399187379274,Average,Poor,Indraprastha to IGI Airport,False,2,0,Small Group,1.4,1.0,0,1.4
UBER0077,2024-10-15,22:09,Hauz Khas,Kalkaji,2.25,Card,3,4.2,42.04,2024-10-15 22:09:00,22,Tuesday,October,2024,15,False,Night,Off-Peak,18.684444444444445,Short,8.304197530864197,Good,Good,Hauz Khas to Kalkaji,False,3,1,Small Group,1.4,1.0,0,1.4
UBER0078,2025-10-03,02:49,Lajpat Nagar,Karol Bagh,23.87,Cash,3,4.7,362.89,2025-10-03 02:49:00,2,Friday,October,2025,3,False,Night,Off-Peak,15.202764976958525,Long,0.6368984070782792,Excellent,Excellent,Lajpat Nagar to Karol Bagh,False,6,0,Small Group,1.4,1.15,0,1.6099999999999999
UBER0079,2025-05-07,07:50,Kalkaji,Hauz Khas,17.22,Card,1,4.7,323.86,2025-05-07 07:50:00,7,Wednesday,May,2025,7,False,Morning,Peak,18.807200929152152,Long,1.0921719471052354,Excellent,Excellent,Kalkaji to Hauz Khas,False,7,1,Solo,1.3,1.0,0,1.3
UBER0080,2024-01-21,03:53,Rohini,Okhla,17.3,Card,3,3.8,230.86,2024-01-21 03:53:00,3,Sunday,January,2024,21,True,Night,Off-Peak,13.34450867052023,Long,0.7713588826890306,Average,Average,Rohini to Okhla,False,9,1,Small Group,1.4,1.25,1,1.75
UBER0081,2025-06-03,13:55,Noida Sector 15,Kalkaji,6.23,Card,4,3.3,120.96,2025-06-03 13:55:00,13,Tuesday,June,2025,3,False,Afternoon,Off-Peak,19.41573033707865,Medium,3.116489620718884,Average,Poor,Noida Sector 15 to Kalkaji,False,8,1,Large Group,1.0,1.0,0,1.0
UBER0082,2024-07-24,07:46,Janakpuri,Rajouri Garden,23.97,Cash,4,3.6,249.21,2024-07-24 07:46:00,7,Wednesday,July,2024,24,False,Morning,Peak,10.39674593241552,Long,0.43373992208658824,Average,Average,Janakpuri to Rajouri Garden,False,7,0,Large Group,1.3,1.0,0,1.3
UBER0083,2024-05-19,14:09,Rohini,Rajouri Garden,27.46,Wallet,1,4.6,500.91,2024-05-19 14:09:00,14,Sunday,May,2024,19,True,Afternoon,Off-Peak,18.241442097596504,Long,0.664291409235124,Excellent,Excellent,Rohini to Rajouri Garden,False,6,2,Solo,1.0,1.25,1,1.25
UBER0084,2025-10-27,18:40,Dwarka,Hauz Khas,3.16,Card,3,3.6,52.32,2025-10-27 18:40:00,18,Monday,October,2025,27,False,Evening,Peak,16.556962025316455,Short,5.239544944720397,Average,Average,Dwarka to Hauz Khas,False,6,1,Small Group,1.35,1.0,0,1.35
UBER0085,2024-06-28,10:59,Karol Bagh,Gurugram Cyber City,7.68,Wallet,4,4.1,129.54,2024-06-28 10:59:00,10,Friday,June,2024,28,False,Morning,Off-Peak,16.8671875,Medium,2.1962483723958335,Good,Good,Karol Bagh to Gurugram Cyber City,False,6,2,Large Group,1.0,1.15,0,1.15
UBER0086,2025-01-12,18:44,Gurugram Cyber City,Mayur Vihar,24.98,Card,3,3.2,339.64,2025-01-12 18:44:00,18,Sunday,January,2025,12,True,Evening,Peak,13.596477181745396,Long,0.5442945228881263,Average,Poor,Gurugram Cyber City to Mayur Vihar,False,7,1,Small Group,1.35,1.25,1,1.6875
UBER0087,2025-10-30,10:18,Greater Kailash,Okhla,24.36,Wallet,2,4.4,302.33,2025-10-30 10:18:00,10,Thursday,October,2025,30,False,Morning,Off-Peak,12.410919540229886,Long,0.5094794556744616,Good,Good,Greater Kailash to Okhla,False,7,2,Couple,1.0,1.0,0,1.0
