Trip_ID,Date,Time,Pickup_Location,Drop_Location,Distance_km,Payment_Type,Passenger_Count,Driver_Rating,Fare_Amount
UBER0032,2024-08-16,15:11,Pitampura,Pitampura,3.72,Wallet,4,3.7,55.06
UBER0033,2024-05-13,15:38,Kalkaji,Pitampura,29.04,Card,2,4.1,426.58
UBER0034,2025-03-13,02:21,Greater Kailash,Pitampura,24.12,Cash,3,4.6,437.62
UBER0035,2025-06-08,14:11,Dwarka,Hauz Khas,28.46,Cash,1,3.8,417.99
UBER0036,2025-08-15,05:35,Hauz Khas,Pitampura,21.26,Card,3,4.1,314.79
UBER0037,2024-12-05,20:28,Saket,Connaught Place,29.97,Card,3,4.1,573.31
UBER0038,2025-07-26,14:22,Dwarka,Noida Sector 15,22.71,Wallet,4,3.5,416.27
UBER0039,2024-09-20,09:17,Rohini,Pitampura,14.53,Wallet,3,4.8,195.43
UBER0040,2025-01-22,11:39,Chandni Chowk,Gurugram Cyber City,9.69,Card,1,3.7,171.0
UBER0041,2024-03-21,20:09,Okhla,Connaught Place,16.84,Cash,3,4.9,310.69
UBER0042,2024-02-11,21:12,Indraprastha,Gurugram Cyber City,16.9,Cash,2,3.9,309.23
UBER0043,2024-02-07,17:33,Dwarka,Dwarka,17.26,Card,2,4.3,291.58
UBER0044,2025-12-21,15:02,IGI Airport,Connaught Place,11.71,Card,3,,181.6
UBER0045,2024-06-10,05:37,Mayur Vihar,Saket,12.84,Wallet,3,4.2,175.44
UBER0046,2025-08-24,05:51,Indraprastha,Karol Bagh,2.93,Wallet,4,4.5,38.99
UBER0047,2025-09-23,09:51,Kalkaji,Connaught Place,7.91,Card,3,4.5,118.6
UBER0048,2025-02-27,09:32,Noida Sector 15,Rajouri Garden,300,Wallet,2,3.1,12000.0
UBER0049,2025-10-11,06:58,Mayur Vihar,Rajouri Garden,22.55,Cash,4,4.6,387.99
UBER0050,2024-03-07,07:00,Mayur Vihar,Noida Sector 15,2.37,Card,1,4.6,40.55
UBER0051,2024-01-24,21:00,Janakpuri,Greater Kailash,10.44,Wallet,2,4.4,184.83
UBER0052,2024-06-29,14:11,Okhla,Gurugram Cyber City,9.54,Wallet,1,4.0,123.19
UBER0053,2025-08-21,18:32,Okhla,Rajouri Garden,5.27,Cash,3,3.4,96.55
UBER0054,2024-02-27,09:55,Gurugram Cyber City,Rohini,29.63,Wallet,4,4.1,444.11
UBER0055,2025-09-23,14:10,Vasant Kunj,Kalkaji,22.91,Cash,2,3.3,418.69
UBER0056,2024-01-02,08:15,IGI Airport,Chandni Chowk,27.7,Cash,2,4.3,332.75
UBER0057,2024-03-20,12:31,Chandni Chowk,Noida Sector 15,100,Card,1,4.0,20.0
UBER0058,2025-06-14,15:19,Chandni Chowk,Okhla,9.94,Wallet,3,3.9,188.74
UBER0059,2025-04-26,20:38,Pitampura,Okhla,19.26,Card,4,4.0,264.32
UBER0060,2024-07-08,10:24,Rajouri Garden,Pitampura,27.3,Wallet,3,3.7,454.83
UBER0061,2024-04-10,14:12,Indraprastha,Pitampura,20.05,Card,3,3.6,297.61
UBER0062,2025-01-11,04:48,Lajpat Nagar,Janakpuri,3.21,Card,2,4.2,57.52
UBER0063,2024-12-09,11:19,Gurugram Cyber City,Indraprastha,21.07,Wallet,2,3.1,399.43
UBER0064,2025-06-16,23:27,Dwarka,Okhla,1.35,Cadr,4,4.1,16.36
UBER0065,2024-09-27,06:39,Saket,Pitampura,27.83,Cash,2,4.5,413.28
UBER0066,2025-09-19,16:44,Dwarka,IGI Airport,22.95,Card,1,3.1,441.91
UBER0067,2024-05-04,12:40,Hauz Khas,Karol Bagh,10.32,Cash,2,4.6,
UBER0068,2025-05-03,06:43,Noida Sector 15,Saket,8.1,Cash,4,4.1,100.0
UBER0069,2025-06-08,06:13,Dwarka,Connaught Place,5.53,Card,2,4.1,81.36
UBER0070,2025-02-17,10:34,Okhla,Janakpuri,19.37,Cash,1,3.7,353.07
UBER0071,2025-08-11,18:48,Connaught Place,Janakpuri,4.81,Cash,3,3.2,76.47
UBER0072,2025-03-12,06:20,Greater Kailash,Kalkaji,2.71,Cash,1,4.4,52.09
UBER0073,2025-10-08,18:06,Mayur Vihar,IGI Airport,19.89,Cash,2,4.3,266.43
UBER0074,2025-03-15,16:27,Mayur Vihar,Chandni Chowk,24.93,Cash,2,3.5,441.05
UBER0075,2024-05-13,17:45,Gurugram Cyber City,Indraprastha,9.57,Wallet,4,5.0,137.39
UBER0076,2025-08-05,00:00,Indraprastha,IGI Airport,17.57,Cash,3,3.1,227.25
UBER0077,2024-10-15,22:09,Hauz Khas,Kalkaji,2.25,Card,3,4.2,42.04
UBER0078,2025-10-03,02:49,Lajpat Nagar,Karol Bagh,23.87,Cash,3,4.7,362.89
UBER0079,2025-05-07,07:50,Kalkaji,Hauz Khas,17.22,Card,1,4.7,323.86
UBER0080,2024-01-21,03:53,Rohini,Okhla,17.3,Card,3,3.8,230.86
UBER0081,2025-06-03,13:55,Noida Sector 15,Kalkaji,6.23,Card,4,3.3,120.96
UBER0082,2024-07-24,07:46,Janakpuri,Rajouri Garden,23.97,Cash,4,3.6,
UBER0083,2024-05-19,14:09,Rohini,Rajouri Garden,27.46,Wallet,1,4.6,500.91
UBER0084,2025-10-27,18:40,Dwarka,Hauz Khas,3.16,Card,3,3.6,52.32
UBER0085,2024-06-28,10:59,Karol Bagh,Gurugram Cyber City,7.68,Wallet,4,4.1,129.54
UBER0086,2025-01-12,18:44,Gurugram Cyber City,Mayur Vihar,24.98,Card,3,3.2,339.64
UBER0087,2025-10-30,10:18,Greater Kailash,Okhla,24.36,Walet,2,4.4,302.33
UBER0088,2025-01-01,13:03,Janakpuri,Mayur Vihar,23.11,Cash,3,3.8,430.42
UBER0089,2024-11-04,06:35,Noida Sector 15,Pitampura,14.22,Cash,3,3.4,217.43
UBER0090,2024-03-31,02:15,Chandni Chowk,Lajpat Nagar,9.5,Cash,4,3.0,162.96
UBER0091,2025-05-12,21:34,Rajouri Garden,Saket,24.49,Wallet,4,,315.53
UBER0092,2025-08-26,22:49,IGI Airport,Lajpat Nagar,17.47,Wallet,1,3.3,215.16
UBER0093,2025-08-01,10:24,Kalkaji,Rohini,17.09,Wallet,2,3.7,209.0
UBER0094,2025-07-11,09:55,Pitampura,Lajpat Nagar,28.74,Card,1,3.6,516.49
UBER0095,2024-01-24,23:37,Kalkaji,Mayur Vihar,10.19,Cash,4,4.5,
UBER0096,2025-11-27,10:39,Rajouri Garden,Vasant Kunj,2.64,Cash,3,4.7,37.27
UBER0097,2025-01-14,13:01,Dwarka,Janakpuri,27.89,Wallet,4,3.4,490.09
UBER0098,2025-09-24,08:39,Saket,Vasant Kunj,11.64,Wallet,4,3.7,149.22
UBER0099,2025-01-23,02:32,Mayur Vihar,Janakpuri,11.03,Card,2,3.6,197.86
UBER0100,2025-07-06,07:36,Lajpat Nagar,Rajouri Garden,28.74,Wallet,3,4.1,496.53
UBER0101,2024-02-26,13:53,,Karol Bagh,13.72,Cash,3,3.6,259.61
UBER0102,2024-01-03,21:44,Okhla,Greater Kailash,23.53,Card,1,4.0,328.02
UBER0103,2024-09-22,14:43,Karol Bagh,Vasant Kunj,5.33,Card,1,4.1,81.09
UBER0104,2025-09-14,14:45,,Pitampura,21.65,Card,1,4.0,390.0
UBER0105,2024-08-29,06:37,Rajouri Garden,Vasant Kunj,29.32,Cash,1,3.4,558.26
UBER0106,2025-03-24,12:56,Greater Kailash,Noida Sector 15,3.92,Cash,1,4.4,68.31
UBER0107,2024-04-15,12:30,Kalkaji,Rajouri Garden,3.06,Wallet,1,4.6,43.91
UBER0108,2025-04-07,04:39,Gurugram Cyber City,Rajouri Garden,11.73,Cash,4,3.9,219.66
UBER0109,2025-06-26,08:50,Saket,Saket,29.28,Wallet,3,3.3,398.62
UBER0110,2024-11-24,00:40,Indraprastha,Gurugram Cyber City,21.04,Wallet,1,3.3,277.75
UBER0111,2025-02-21,10:22,Pitampura,Gurugram Cyber City,28.86,Wallet,1,3.6,560.52
UBER0112,2024-11-17,19:56,Karol Bagh,Noida Sector 15,10.43,Wallet,2,4.4,158.87
UBER0113,2025-01-05,20:57,Karol Bagh,Rohini,12.49,Wallet,2,4.1,197.96
UBER0114,2025-10-24,13:04,IGI Airport,Karol Bagh,5.39,Wallet,1,3.3,80.62
UBER0115,2024-08-07,23:27,Janakpuri,Lajpat Nagar,23.76,Wallet,1,4.3,
UBER0116,2025-12-19,06:16,Greater Kailash,Vasant Kunj,11.28,Wallet,2,4.9,169.57
UBER0117,2024-11-13,11:59,Rajouri Garden,Karol Bagh,6.58,Cadr,2,4.6,87.12
UBER0118,2024-05-22,10:29,Karol Bagh,Chandni Chowk,16.03,Card,2,4.6,196.08
UBER0119,2024-11-12,14:51,Noida Sector 15,Noida Sector 15,29.35,Cash,3,4.4,434.47
UBER0120,2024-12-14,21:39,Connaught Place,Janakpuri,28.13,Cash,1,4.6,361.5
UBER0121,2024-07-10,10:48,Lajpat Nagar,Karol Bagh,150,Cash,4,4.2,50.0
UBER0122,2025-10-06,04:27,Saket,Hauz Khas,11.16,Wallet,3,3.9,148.59
UBER0123,2024-02-26,12:12,Rohini,Lajpat Nagar,5.35,Wallet,2,4.0,79.03
UBER0124,2025-05-10,06:44,Greater Kailash,Dwarka,24.58,Cash,4,4.7,477.17
UBER0125,2024-09-23,22:04,Greater Kailash,Lajpat Nagar,3.21,Cahs,3,4.4,
UBER0126,2025-01-12,05:52,Connaught Place,Saket,1.61,Cash,2,4.0,23.45
UBER0127,2025-12-25,19:04,Pitampura,Chandni Chowk,9.52,Card,3,3.4,
UBER0128,2025-07-08,19:00,Noida Sector 15,Rohini,29.85,Cash,4,3.9,380.03
UBER0129,2025-09-22,02:42,Lajpat Nagar,Noida Sector 15,17.2,Cash,1,3.6,328.09
UBER0130,2025-10-23,03:09,Noida Sector 15,Connaught Place,13.44,Card,3,3.5,162.46
UBER0131,2025-05-20,18:48,Connaught Place,Chandni Chowk,17.55,Card,1,4.7,216.16
UBER0132,2025-05-19,20:53,Karol Bagh,Lajpat Nagar,28.85,Cash,1,4.6,525.16
UBER0133,2025-07-18,17:28,Janakpuri,Chandni Chowk,9.76,Card,4,4.2,179.28
UBER0134,2025-02-06,12:52,Dwarka,Indraprastha,8.67,Cash,3,5.0,129.98
UBER0135,2025-11-22,11:11,Karol Bagh,Karol Bagh,3.87,Card,1,4.1,61.14
UBER0136,2025-09-21,10:44,Vasant Kunj,Chandni Chowk,15.65,Cash,2,4.5,301.29
UBER0137,2025-02-17,15:02,Mayur Vihar,Vasant Kunj,20.74,Wallet,4,4.8,276.66
UBER0138,2024-06-19,05:15,Janakpuri,Rajouri Garden,5.9,Cash,2,3.5,106.29
UBER0139,2024-04-03,07:30,Connaught Place,Indraprastha,13.47,Wallet,2,3.0,229.1
UBER0140,2025-07-26,17:42,Lajpat Nagar,Mayur Vihar,8.56,Card,1,4.1,122.35
UBER0141,2025-05-04,19:49,Noida Sector 15,Lajpat Nagar,17.05,Wallet,4,4.7,308.01
UBER0142,2024-06-15,09:22,Greater Kailash,Gurugram Cyber City,7.19,Cash,1,,115.11
UBER0143,2025-06-21,08:16,Lajpat Nagar,Hauz Khas,15.4,Wallet,1,3.2,219.3
UBER0144,2025-01-30,01:20,Karol Bagh,Kalkaji,22.29,Cash,3,4.6,364.93
UBER0145,2024-10-10,09:34,Noida Sector 15,Greater Kailash,1.4,Card,3,4.5,22.97
UBER0146,2025-06-16,13:30,Okhla,Hauz Khas,10.64,Card,2,3.5,148.34
UBER0147,2024-07-10,05:30,Connaught Place,Okhla,25.23,Cash,4,3.2,479.54
UBER0148,2025-07-15,18:20,Lajpat Nagar,Gurugram Cyber City,26.16,Card,3,4.0,373.09
UBER0149,2024-07-29,01:51,Lajpat Nagar,IGI Airport,18.88,Card,1,3.6,244.9
UBER0150,2024-05-16,08:34,Rohini,Okhla,2.52,Cash,3,4.8,38.41
UBER0151,2025-08-26,04:33,Mayur Vihar,Chandni Chowk,10.11,Card,2,3.5,185.18
UBER0152,2024-06-29,14:35,Lajpat Nagar,Janakpuri,16.84,Wallet,2,3.3,267.69
UBER0153,2024-05-02,01:27,Vasant Kunj,Karol Bagh,8.8,Card,1,3.5,161.79
UBER0154,2024-02-18,16:34,Okhla,Saket,22.91,Cash,2,4.7,433.41
UBER0155,2024-10-08,04:21,Dwarka,Hauz Khas,25.84,Cash,4,4.4,419.32
UBER0156,2024-04-30,10:45,Vasant Kunj,Hauz Khas,25.02,Cash,3,3.9,369.78
UBER0157,2024-08-18,16:48,Kalkaji,Connaught Place,3.6,Wallet,3,3.6,62.28
UBER0158,2024-11-30,05:09,Gurugram Cyber City,Lajpat Nagar,23.23,Wallet,2,4.9,451.01
UBER0159,2025-04-01,17:04,IGI Airport,Dwarka,8.17,Card,4,3.8,145.03
UBER0160,2024-07-11,20:36,Kalkaji,Okhla,26.81,Wallet,2,3.9,356.57
UBER0161,2024-07-08,21:12,Kalkaji,IGI Airport,10.91,Cash,1,4.9,152.2
UBER0162,2024-12-15,19:10,Kalkaji,Rohini,11.27,Card,1,3.8,139.94
UBER0163,2025-10-27,18:21,,Rajouri Garden,21.37,Wallet,2,4.5,423.03
UBER0164,2025-07-29,00:18,Lajpat Nagar,Lajpat Nagar,19.43,Wallet,1,3.5,316.2
UBER0165,2024-09-17,04:55,Chandni Chowk,Rajouri Garden,6.64,Card,4,3.5,127.96
UBER0166,2025-05-11,14:26,Rohini,Janakpuri,28.43,Card,1,3.0,484.35
UBER0167,2025-07-22,18:13,Indraprastha,Rohini,1.11,Wallet,2,5.0,
UBER0168,2025-10-21,20:18,Rajouri Garden,Hauz Khas,11.34,Wallet,1,3.7,224.5
UBER0169,2024-03-14,17:00,Kalkaji,Indraprastha,7.69,Card,3,4.8,120.99
UBER0170,2024-04-20,03:01,Mayur Vihar,Greater Kailash,1.32,Wallet,1,4.8,16.69
UBER0171,2024-01-05,22:59,Kalkaji,Vasant Kunj,6.02,Cash,4,4.0,102.23
UBER0172,2025-03-30,21:44,Noida Sector 15,IGI Airport,7.09,Card,4,4.0,112.26
UBER0173,2025-07-02,23:44,Connaught Place,Rajouri Garden,16.23,Card,4,4.9,230.24
UBER0174,2024-07-28,10:11,Okhla,Mayur Vihar,22.59,Cash,3,3.8,433.2
UBER0175,2024-10-17,21:02,Kalkaji,Rajouri Garden,1.7,Card,2,4.0,22.75
UBER0176,2025-04-10,23:03,Karol Bagh,IGI Airport,11.05,Cash,3,5.0,177.99
UBER0177,2024-10-02,01:45,Rajouri Garden,Vasant Kunj,14.4,Wallet,2,4.3,267.73
UBER0178,2025-06-18,08:46,Indraprastha,Connaught Place,1.23,Cash,3,3.6,17.73
UBER0179,2025-03-23,18:49,IGI Airport,Rajouri Garden,25.54,Wallet,3,4.1,408.67
UBER0180,2025-10-27,13:32,Hauz Khas,Vasant Kunj,10.35,Cash,2,3.5,145.47
UBER0181,2025-07-23,21:21,Mayur Vihar,Saket,1.51,Card,3,3.5,26.47
UBER0182,2024-04-05,14:46,Karol Bagh,Hauz Khas,29.73,Cash,1,3.4,445.32
UBER0183,2025-02-08,12:16,Saket,Rajouri Garden,22.78,Wallet,2,3.1,281.44
UBER0184,2025-07-03,16:31,Dwarka,Hauz Khas,18.8,Wallet,4,4.4,371.37
UBER0185,2025-07-07,13:47,Rohini,Connaught Place,6.68,Cash,2,4.5,132.26
UBER0186,2024-05-18,17:50,Mayur Vihar,Chandni Chowk,17.42,Wallet,3,4.1,265.56
UBER0187,2024-05-01,02:36,Noida Sector 15,Rajouri Garden,28.45,Cash,1,4.0,563.99
UBER0188,2024-10-26,09:40,Okhla,Kalkaji,17.96,Card,3,4.8,303.56
UBER0189,2025-09-17,18:42,Dwarka,Pitampura,5.41,Cash,4,3.5,85.57
UBER0190,2025-08-09,04:03,Hauz Khas,Chandni Chowk,22.94,Wallet,1,4.7,451.05
UBER0191,2025-07-27,19:02,,Connaught Place,27.83,Wallet,1,3.9,444.4
UBER0192,2024-02-19,19:24,Hauz Khas,Hauz Khas,27.86,Wallet,4,3.2,418.69
UBER0193,2025-12-30,22:35,Hauz Khas,Gurugram Cyber City,17.31,Card,1,4.4,297.37
UBER0194,2024-08-12,04:20,IGI Airport,Dwarka,14.8,Cash,4,4.6,249.39
UBER0195,2025-08-14,03:58,Okhla,Mayur Vihar,26.71,Wallet,2,3.4,522.22
UBER0196,2025-08-29,05:10,IGI Airport,Gurugram Cyber City,10.62,Card,4,,191.66
UBER0197,2024-10-10,22:37,Connaught Place,Karol Bagh,13.99,Cash,4,4.7,265.41
UBER0198,2024-05-03,11:25,Kalkaji,Janakpuri,16.27,Cash,2,4.8,223.44
UBER0199,2024-06-14,15:09,Saket,Vasant Kunj,21.16,Card,3,4.5,381.28
UBER0200,2025-01-21,16:01,,Rajouri Garden,3.86,Cash,4,4.5,67.22
UBER0201,2025-04-06,03:43,Karol Bagh,Gurugram Cyber City,15.66,Card,4,3.4,257.66
UBER0202,2024-10-09,23:54,Noida Sector 15,Saket,24.25,Card,1,3.2,441.23
UBER0203,2025-10-04,07:29,Noida Sector 15,Mayur Vihar,1.55,Cash,4,3.2,28.85
UBER0204,2025-09-17,21:52,Rajouri Garden,Chandni Chowk,18.62,Cash,1,4.6,356.08
UBER0205,2024-11-26,05:11,Vasant Kunj,Karol Bagh,10.23,Wallet,1,4.8,146.2
UBER0206,2024-10-24,17:39,Okhla,Gurugram Cyber City,25.47,Wallet,3,4.8,472.32
UBER0207,2025-01-05,14:17,Kalkaji,Connaught Place,16.64,Cash,4,3.9,248.36
UBER0208,2025-05-22,10:25,Pitampura,Rohini,18.31,Card,1,3.6,315.21
UBER0209,2025-01-22,22:12,Karol Bagh,Janakpuri,28.3,Wallet,2,4.6,508.79
UBER0210,2025-09-25,00:46,Karol Bagh,Kalkaji,8.75,Cash,3,5.0,124.42
UBER0211,2024-09-27,05:59,Connaught Place,Pitampura,9.61,Cash,3,3.7,167.26
UBER0212,2025-03-06,20:26,Pitampura,Hauz Khas,23.5,Wallet,4,3.7,443.97
UBER0213,2024-03-04,22:07,Gurugram Cyber City,Okhla,20.01,Wallet,2,3.9,310.01
UBER0214,2024-10-31,14:29,Gurugram Cyber City,Noida Sector 15,29.71,Card,3,3.2,435.67
UBER0215,2025-02-09,10:29,Pitampura,Dwarka,27.89,Cash,4,3.4,485.75
UBER0216,2024-08-07,13:55,Saket,Saket,16.34,Card,1,3.3,263.87
UBER0217,2025-02-03,22:09,Janakpuri,Vasant Kunj,25.22,Cash,1,4.4,472.87
UBER0218,2024-06-10,19:58,Rajouri Garden,Saket,19.07,Wallet,1,4.0,359.94
UBER0219,2024-11-16,03:32,Mayur Vihar,Indraprastha,28.09,Card,4,4.9,381.7
UBER0220,2025-04-11,05:18,Okhla,Chandni Chowk,5.8,Card,2,4.7,106.17
UBER0221,2025-05-06,23:33,Okhla,Noida Sector 15,18.99,Wallet,3,4.0,348.37
UBER0222,2025-03-14,15:43,Vasant Kunj,Mayur Vihar,17.04,Card,4,4.2,225.35
UBER0223,2025-03-01,14:52,Vasant Kunj,Saket,18.86,Cahs,1,3.2,282.25
UBER0224,2024-03-31,20:13,Chandni Chowk,Janakpuri,16.3,Card,3,4.6,320.63
UBER0225,2025-09-02,19:53,Okhla,Chandni Chowk,22.21,Cash,2,3.5,341.28
UBER0226,2025-10-21,22:16,Greater Kailash,Kalkaji,3.58,Card,2,4.7,49.94
UBER0227,2024-03-14,04:52,Greater Kailash,Kalkaji,28.93,Wallet,4,3.1,548.52
UBER0228,2024-04-21,11:20,Noida Sector 15,Lajpat Nagar,1.74,Wallet,2,4.1,22.89
UBER0229,2025-09-04,15:59,Janakpuri,Dwarka,23.24,Wallet,2,4.6,436.05
UBER0230,2025-10-19,05:14,Karol Bagh,Pitampura,7.96,Cash,3,3.5,128.94
UBER0231,2024-11-12,21:54,Janakpuri,Connaught Place,21.46,Cash,4,3.0,388.29
UBER0232,2025-09-13,13:37,Rajouri Garden,Vasant Kunj,5.94,Card,4,4.5,101.74
UBER0233,2025-06-18,06:41,Gurugram Cyber City,Connaught Place,7.76,Card,1,3.8,112.45
UBER0234,2025-04-29,19:30,Rohini,Saket,3.63,Wallet,3,4.3,67.25
UBER0235,2025-09-06,11:00,Noida Sector 15,Saket,1.1,Card,1,4.9,15.81
UBER0236,2024-05-21,23:32,Mayur Vihar,Indraprastha,29.39,Walet,1,4.4,480.01
UBER0237,2025-01-27,12:12,Hauz Khas,Noida Sector 15,14.89,Wallet,4,,197.53
UBER0238,2024-02-14,09:36,,Lajpat Nagar,11.2,Card,4,3.7,153.23
UBER0239,2024-03-31,05:53,Lajpat Nagar,Okhla,6.21,Cash,2,3.6,110.43
UBER0240,2025-05-08,00:10,Gurugram Cyber City,Greater Kailash,12.97,Card,4,4.4,222.33
UBER0241,2025-10-17,03:10,Hauz Khas,Mayur Vihar,21.37,Wallet,3,3.5,316.26
UBER0242,2024-04-07,23:00,Saket,Karol Bagh,13.66,Cash,1,3.2,254.0
UBER0243,2025-01-05,15:50,Rajouri Garden,Greater Kailash,8.88,Cadr,2,4.5,141.72
UBER0244,2024-03-23,16:09,Indraprastha,Indraprastha,23.07,Card,3,3.2,277.71
UBER0245,2024-09-07,06:48,Noida Sector 15,Greater Kailash,20.09,Wallet,2,4.9,259.23
UBER0246,2024-08-20,20:56,Saket,Pitampura,19.32,Card,3,5.0,253.15
UBER0247,2025-12-04,20:53,IGI Airport,Pitampura,13.52,Wallet,1,4.8,261.24
UBER0248,2025-07-13,13:17,Indraprastha,Kalkaji,24.53,Cash,1,3.6,447.92
UBER0249,2025-09-18,05:27,Noida Sector 15,IGI Airport,9.93,Card,3,3.4,184.58
UBER0250,2024-11-09,22:33,Connaught Place,Vasant Kunj,17.63,Cash,1,4.4,294.46
UBER0251,2024-09-24,01:11,Dwarka,Noida Sector 15,21.54,Cash,1,3.7,315.06
UBER0252,2025-07-18,13:46,Gurugram Cyber City,Gurugram Cyber City,10.64,Wallet,4,4.2,211.19
UBER0253,2025-08-10,07:43,Vasant Kunj,Noida Sector 15,26.78,Card,2,3.0,350.43
UBER0254,2024-06-06,15:33,Indraprastha,Chandni Chowk,26.92,Wallet,2,4.6,330.34
UBER0255,2025-09-11,11:36,Vasant Kunj,Mayur Vihar,3.53,Wallet,4,3.1,52.34
UBER0256,2024-10-18,04:06,Rajouri Garden,Karol Bagh,16.97,Cash,4,4.5,263.28
UBER0257,2024-03-06,12:38,Gurugram Cyber City,Saket,27.13,Cash,3,3.9,477.62
UBER0258,2025-01-22,04:09,Chandni Chowk,Hauz Khas,5.38,Cash,2,4.2,75.83
UBER0259,2024-04-29,09:03,Mayur Vihar,Dwarka,26.07,Card,2,3.1,457.66
UBER0260,2025-08-26,15:20,Karol Bagh,Karol Bagh,27.67,Card,4,3.8,531.15
UBER0261,2024-02-04,17:02,Gurugram Cyber City,Connaught Place,16.5,Cash,3,4.8,207.62
UBER0262,2025-06-08,09:16,Saket,Kalkaji,9.27,Wallet,3,3.6,166.87
UBER0263,2024-08-26,21:13,IGI Airport,Hauz Khas,26.7,Cash,1,3.7,510.89
UBER0264,2024-11-29,07:47,Okhla,IGI Airport,14.74,Cash,2,3.4,197.15
UBER0265,2025-04-24,21:51,Karol Bagh,Connaught Place,29.37,Wallet,1,3.7,486.93
UBER0266,2025-08-24,04:21,Vasant Kunj,Okhla,20.54,Cash,3,4.4,399.42
UBER0267,2025-09-19,23:20,Karol Bagh,Karol Bagh,15.8,Wallet,1,4.3,269.33
UBER0268,2025-08-23,06:39,Mayur Vihar,Connaught Place,27.8,Card,4,3.5,412.38
UBER0269,2024-01-17,19:32,Indraprastha,Rajouri Garden,18.45,Cash,4,4.2,259.63
UBER0270,2024-04-18,13:40,Indraprastha,Mayur Vihar,18.28,Cash,2,3.1,335.86
UBER0271,2025-05-12,01:36,Hauz Khas,Mayur Vihar,15.86,Card,3,4.0,216.39
UBER0272,2025-01-18,22:32,Pitampura,Janakpuri,7.04,Wallet,2,4.2,129.69
UBER0273,2025-07-12,22:45,Janakpuri,Lajpat Nagar,7.53,Cash,4,4.0,117.0
UBER0274,2025-01-05,03:46,Rajouri Garden,Vasant Kunj,8.4,Wallet,3,3.4,154.82
UBER0275,2024-03-03,14:54,Saket,Rohini,16.43,Wallet,4,4.6,315.81
UBER0276,2025-04-08,08:38,Janakpuri,Karol Bagh,24.13,Cash,2,3.1,379.09
UBER0277,2024-07-21,18:15,Okhla,Pitampura,18.25,Card,2,3.0,276.88
